bank_id,name,region,compliance_score,sanctioned_account_count,ml_sanction_count,fraud_sanction_count,compliance_violation_count,compliance_status
1,Figueroa-Green,South,0.81,2,0,2,0,Adequate
2,Saunders Ltd,West,0.78,0,0,0,0,Adequate
3,"Morgan, Terry and Cortez",East,0.72,1,0,0,1,Watch
4,Jones PLC,North,0.9,0,0,0,0,Adequate
5,"Wilcox, Lynch and Weeks",South,0.51,1,0,0,1,Below Threshold
6,Phillips Ltd,North,0.62,0,0,0,0,Watch
7,"Garcia, Smith and Woods",West,0.81,0,0,0,0,Adequate
8,Small Inc,North,0.95,3,1,0,2,Adequate
9,"Brown, Lawrence and Chaney",West,0.62,0,0,0,0,Watch
10,Hill-Thomas,West,0.69,1,1,0,0,Watch
11,Bank 11,East,0.9,0,0,0,0,Adequate
12,Bank 12,East,0.54,1,1,0,0,Below Threshold
13,Bank 13,North,0.98,2,1,1,0,Adequate
14,Bank 14,South,0.96,0,0,0,0,Adequate
15,Bank 15,West,0.59,1,0,1,0,Below Threshold
16,Bank 16,South,0.96,0,0,0,0,Adequate
17,Bank 17,South,0.93,1,1,0,0,Adequate
18,Bank 18,North,0.57,3,1,1,1,Below Threshold
19,Bank 19,West,0.62,0,0,0,0,Watch
20,Bank 20,West,0.71,1,1,0,0,Watch
21,Bank 21,South,0.76,0,0,0,0,Adequate
22,Bank 22,East,0.78,1,0,0,1,Adequate
23,Bank 23,North,0.79,1,0,1,0,Adequate
24,Bank 24,East,0.57,0,0,0,0,Below Threshold
25,Bank 25,North,0.63,0,0,0,0,Watch
26,Bank 26,South,0.68,2,0,2,0,Watch
27,Bank 27,East,0.97,1,1,0,0,Adequate
28,Bank 28,East,0.65,0,0,0,0,Watch
29,Bank 29,North,0.52,1,1,0,0,Below Threshold
30,Bank 30,East,0.92,4,1,1,2,Adequate
31,Bank 31,East,0.58,1,0,0,1,Below Threshold
32,Bank 32,North,0.57,0,0,0,0,Below Threshold
33,Bank 33,East,0.61,1,0,0,1,Watch
34,Bank 34,North,0.64,0,0,0,0,Watch
35,Bank 35,West,0.81,0,0,0,0,Adequate
36,Bank 36,South,0.81,0,0,0,0,Adequate
37,Bank 37,South,0.75,0,0,0,0,Adequate
38,Bank 38,West,0.6,0,0,0,0,Watch
39,Bank 39,North,0.65,0,0,0,0,Watch
40,Bank 40,East,0.63,1,1,0,0,Watch
41,Bank 41,West,0.55,0,0,0,0,Below Threshold
42,Bank 42,North,0.51,1,0,1,0,Below Threshold
43,Bank 43,North,0.85,0,0,0,0,Adequate
44,Bank 44,East,0.95,1,0,0,1,Adequate
45,Bank 45,North,0.57,0,0,0,0,Below Threshold
46,Bank 46,West,0.97,1,1,0,0,Adequate
47,Bank 47,East,0.69,4,0,4,0,Watch
48,Bank 48,East,0.7,1,0,1,0,Watch
49,Bank 49,South,0.89,1,0,0,1,Adequate
50,Bank 50,East,0.84,0,0,0,0,Adequate
51,Bank 51,West,0.76,3,0,1,2,Adequate
52,Bank 52,North,0.79,3,1,2,0,Adequate
53,Bank 53,North,0.83,0,0,0,0,Adequate
54,Bank 54,West,0.81,1,0,0,1,Adequate
55,Bank 55,East,0.55,2,1,0,1,Below Threshold
56,Bank 56,South,0.96,2,0,0,2,Adequate
57,Bank 57,West,0.55,2,0,1,1,Below Threshold
58,Bank 58,North,0.66,1,1,0,0,Watch
59,Bank 59,North,0.53,0,0,0,0,Below Threshold
60,Bank 60,South,0.95,1,0,0,1,Adequate
61,Bank 61,East,0.52,1,0,0,1,Below Threshold
62,Bank 62,West,0.8,0,0,0,0,Adequate
63,Bank 63,North,0.84,1,1,0,0,Adequate
64,Bank 64,West,0.87,1,0,0,1,Adequate
65,Bank 65,North,0.88,1,0,1,0,Adequate
66,Bank 66,East,0.62,0,0,0,0,Watch
67,Bank 67,East,0.82,1,0,0,1,Adequate
68,Bank 68,North,0.99,0,0,0,0,Adequate
69,Bank 69,East,0.7,0,0,0,0,Watch
70,Bank 70,East,0.74,1,0,1,0,Watch
71,Bank 71,South,0.78,1,1,0,0,Adequate
72,Bank 72,South,0.55,0,0,0,0,Below Threshold
73,Bank 73,South,0.62,2,0,1,1,Watch
74,Bank 74,West,0.55,0,0,0,0,Below Threshold
75,Bank 75,East,0.55,0,0,0,0,Below Threshold
76,Bank 76,South,1.0,2,1,1,0,Adequate
77,Bank 77,West,0.86,0,0,0,0,Adequate
78,Bank 78,West,0.75,0,0,0,0,Adequate
79,Bank 79,North,0.56,2,1,0,1,Below Threshold
80,Bank 80,West,0.87,0,0,0,0,Adequate
81,Bank 81,South,0.86,1,1,0,0,Adequate
82,Bank 82,North,0.63,0,0,0,0,Watch
83,Bank 83,South,0.95,2,1,1,0,Adequate
84,Bank 84,West,0.7,2,0,2,0,Watch
85,Bank 85,North,0.86,1,0,0,1,Adequate
86,Bank 86,North,0.74,0,0,0,0,Watch
87,Bank 87,West,0.72,0,0,0,0,Watch
88,Bank 88,West,0.52,3,1,0,2,Below Threshold
89,Bank 89,East,0.75,2,0,0,2,Adequate
90,Bank 90,South,0.66,1,0,0,1,Watch
91,Bank 91,East,0.67,1,0,1,0,Watch
92,Bank 92,North,0.75,1,0,0,1,Adequate
93,Bank 93,North,0.79,2,1,1,0,Adequate
