bank_id,name,region,compliance_score,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,sanctioned_account_count,distinct_sanctioned_customers
1,Figueroa-Green,South,0.81,1,3790.68,3790.68,0,2,2
2,Saunders Ltd,West,0.78,0,,0.0,0,0,0
3,"Morgan, Terry and Cortez",East,0.72,1,4323.75,4323.75,0,1,1
4,Jones PLC,North,0.9,0,,0.0,0,0,0
5,"Wilcox, Lynch and Weeks",South,0.51,1,9855.67,9855.67,0,1,1
6,Phillips Ltd,North,0.62,0,,0.0,0,0,0
7,"Garcia, Smith and Woods",West,0.81,1,3057.17,3057.17,1,0,0
8,Small Inc,North,0.95,0,,0.0,0,3,3
9,"Brown, Lawrence and Chaney",West,0.62,1,8910.06,8910.06,1,0,0
10,Hill-Thomas,West,0.69,2,5563.97,11127.93,0,1,1
11,Bank 11,East,0.9,0,,0.0,0,0,0
12,Bank 12,East,0.54,1,3854.41,3854.41,0,1,1
13,Bank 13,North,0.98,0,,0.0,0,2,2
14,Bank 14,South,0.96,0,,0.0,0,0,0
15,Bank 15,West,0.59,1,4419.37,4419.37,0,1,1
16,Bank 16,South,0.96,1,657.35,657.35,0,0,0
17,Bank 17,South,0.93,2,6710.58,13421.16,1,1,1
18,Bank 18,North,0.57,4,4106.76,16427.03,2,3,3
19,Bank 19,West,0.62,1,31.68,31.68,0,0,0
20,Bank 20,West,0.71,2,3039.84,6079.68,2,1,1
21,Bank 21,South,0.76,0,,0.0,0,0,0
22,Bank 22,East,0.78,0,,0.0,0,1,1
23,Bank 23,North,0.79,2,5402.4,10804.79,1,1,1
24,Bank 24,East,0.57,0,,0.0,0,0,0
25,Bank 25,North,0.63,2,9120.91,18241.82,0,0,0
26,Bank 26,South,0.68,0,,0.0,0,2,2
27,Bank 27,East,0.97,1,2764.94,2764.94,0,1,1
28,Bank 28,East,0.65,0,,0.0,0,0,0
29,Bank 29,North,0.52,0,,0.0,0,1,1
30,Bank 30,East,0.92,2,4454.25,8908.5,1,4,4
31,Bank 31,East,0.58,0,,0.0,0,1,1
32,Bank 32,North,0.57,2,2602.75,5205.5,0,0,0
