bank_id,name,region,compliance_score,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,high_risk_txn_pct,sanctioned_account_count,bank_risk_score,risk_rank
508,Bank 508,West,0.54,2,2423.11,4846.22,2,100.0,4,78.4,1
651,Bank 651,North,0.54,1,5910.77,5910.77,1,100.0,3,78.4,1
288,Bank 288,North,0.55,1,5050.63,5050.63,1,100.0,3,78.0,3
654,Bank 654,South,0.58,1,4025.26,4025.26,1,100.0,3,76.8,4
997,Bank 997,South,0.7,1,3963.45,3963.45,1,100.0,4,72.0,5
321,Bank 321,West,0.73,1,2005.85,2005.85,1,100.0,3,70.8,6
647,Bank 647,South,0.74,1,5494.18,5494.18,1,100.0,3,70.4,7
51,Bank 51,West,0.76,1,4871.09,4871.09,1,100.0,3,69.6,8
168,Bank 168,South,0.53,1,8594.71,8594.71,1,100.0,2,68.8,9
555,Bank 555,North,0.53,1,1810.19,1810.19,1,100.0,2,68.8,9
822,Bank 822,West,0.53,1,2126.21,2126.21,1,100.0,2,68.8,9
849,Bank 849,West,0.8,1,6850.81,6850.81,1,100.0,3,68.0,12
360,Bank 360,North,0.81,1,3059.82,3059.82,1,100.0,3,67.6,13
656,Bank 656,North,0.81,1,5857.3,5857.3,1,100.0,3,67.6,13
677,Bank 677,North,0.58,1,4561.89,4561.89,1,100.0,2,66.8,15
97,Bank 97,South,0.59,1,3729.47,3729.47,1,100.0,2,66.4,16
809,Bank 809,North,0.59,2,8771.44,17542.87,2,100.0,2,66.4,16
133,Bank 133,South,0.85,1,6395.74,6395.74,1,100.0,3,66.0,18
469,Bank 469,South,0.85,1,6405.71,6405.71,1,100.0,3,66.0,18
532,Bank 532,North,0.6,1,3062.71,3062.71,1,100.0,2,66.0,18
586,Bank 586,East,0.6,1,3151.21,3151.21,1,100.0,2,66.0,18
73,Bank 73,South,0.62,1,4145.44,4145.44,1,100.0,2,65.2,22
290,Bank 290,East,0.87,1,4776.3,4776.3,1,100.0,3,65.2,22
888,Bank 888,East,0.87,1,6089.18,6089.18,1,100.0,3,65.2,22
952,Bank 952,South,0.63,1,4705.23,4705.23,1,100.0,2,64.8,25
88,Bank 88,West,0.52,2,8338.35,16676.7,1,50.0,3,64.2,26
313,Bank 313,South,0.75,5,4529.41,22647.06,4,80.0,3,64.0,27
442,Bank 442,North,0.66,3,4351.88,13055.65,3,100.0,2,63.6,28
136,Bank 136,West,0.67,1,9583.48,9583.48,1,100.0,2,63.2,29
525,Bank 525,South,0.67,1,6655.74,6655.74,1,100.0,2,63.2,29
686,Bank 686,East,0.67,2,5905.91,11811.83,2,100.0,2,63.2,29
582,Bank 582,South,0.68,1,2330.49,2330.49,1,100.0,2,62.8,32
470,Bank 470,South,0.56,2,7682.47,15364.93,1,50.0,3,62.6,33
694,Bank 694,South,0.56,2,7871.26,15742.51,1,50.0,3,62.6,33
181,Bank 181,West,0.69,1,6176.08,6176.08,1,100.0,2,62.4,35
713,Bank 713,South,0.94,1,9104.14,9104.14,1,100.0,3,62.4,35
732,Bank 732,West,0.94,1,9895.62,9895.62,1,100.0,4,62.4,35
18,Bank 18,North,0.57,4,4106.76,16427.03,2,50.0,3,62.2,38
227,Bank 227,East,0.7,1,3432.85,3432.85,1,100.0,2,62.0,39
871,Bank 871,West,0.7,1,8389.31,8389.31,1,100.0,2,62.0,39
143,Bank 143,South,0.71,1,4336.54,4336.54,1,100.0,2,61.6,41
369,Bank 369,East,0.71,1,7388.8,7388.8,1,100.0,2,61.6,41
415,Bank 415,East,0.96,2,1752.11,3504.22,2,100.0,3,61.6,41
640,Bank 640,West,0.96,1,1120.76,1120.76,1,100.0,3,61.6,41
471,Bank 471,South,0.97,1,4787.91,4787.91,1,100.0,3,61.2,45
