transaction_id,customer_id,bank_id,amount,txn_date,location,is_high_risk,flag_large_amount,flag_high_frequency_customer,flag_high_risk_customer,flag_low_compliance_bank,flag_sanctioned_customer,flag_sanctioned_bank
164,1,10,5185.75,2024-02-18,Port Danielshire,0,0,0,0,0,1,1
797,2,50,3078.17,2024-07-15,Watsonmouth,1,0,0,0,0,1,0
900,2,122,9928.75,2024-10-30,North Robert,0,1,0,0,1,1,1
766,3,586,3151.21,2023-12-25,Taylorbury,1,0,0,1,0,1,1
227,4,873,6185.55,2024-11-19,West Elizabethchester,0,0,1,0,0,1,1
288,4,450,3109.66,2024-08-21,Russellland,0,0,1,0,0,1,1
382,4,322,4173.66,2024-01-13,Louisland,0,0,1,0,0,1,1
646,4,402,2899.69,2024-07-21,Cunninghamfurt,0,0,1,0,0,1,1
138,7,968,4133.14,2024-06-10,East Nicoleland,1,0,0,0,0,1,0
443,8,60,6583.51,2024-11-14,Lake Saraside,0,0,0,0,0,1,1
83,9,537,5831.24,2024-08-02,Baileyport,1,0,0,0,1,1,0
758,9,375,7909.91,2024-07-21,West Travis,0,0,0,0,0,1,1
938,9,508,40.42,2024-11-18,Livingstonburgh,1,0,0,0,1,1,1
239,10,500,3298.52,2024-08-30,East Scott,1,0,0,1,0,1,1
635,10,943,1011.47,2024-08-20,Edwardview,0,0,0,1,0,1,1
637,10,90,3076.74,2024-09-22,Richardfort,0,0,0,1,0,1,1
120,11,502,5631.9,2024-10-11,South Derek,0,0,0,0,0,0,0
829,13,48,4844.53,2023-12-18,North Kimberlyhaven,0,0,0,0,0,1,1
959,13,925,6884.99,2024-05-15,West Jessicaton,1,0,0,0,0,1,1
903,14,852,8724.29,2023-11-23,Shelbyshire,1,0,0,0,1,1,1
740,15,465,4809.83,2024-09-30,Port Joshuamouth,1,0,0,0,0,1,1
516,18,617,7750.07,2024-07-26,West Natalie,1,0,0,0,0,1,0
175,19,399,3355.63,2024-02-16,Francesstad,1,0,0,0,1,0,0
401,19,45,268.84,2024-05-21,Johnstonmouth,0,0,0,0,1,0,0
464,19,527,3668.41,2023-12-05,South Jose,1,0,0,0,1,0,1
453,21,806,6445.35,2024-05-28,Port Bonnie,0,0,0,0,1,1,0
955,21,318,5855.25,2024-09-22,South Brianna,0,0,0,0,0,1,0
725,23,759,5772.74,2024-08-03,North Sergiohaven,0,0,0,0,1,1,1
374,24,480,6825.12,2024-08-20,South Gary,1,0,0,0,0,1,1
21,25,434,7610.93,2024-04-19,Port Robertstad,1,0,0,0,0,1,0
526,27,814,6050.36,2023-12-02,South Lisa,1,0,0,0,0,0,0
54,28,707,375.34,2024-03-11,Crossside,1,0,0,0,0,1,1
273,28,723,7010.93,2024-07-08,Fisherfort,0,0,0,0,0,1,0
902,29,43,6418.22,2024-06-07,New Spencer,1,0,0,1,0,1,0
744,30,571,980.92,2024-03-10,West Donnaberg,1,0,0,0,0,1,1
198,31,721,8488.58,2024-08-18,Rachelstad,0,0,0,0,0,1,1
859,33,130,6234.57,2024-07-04,North William,1,0,0,0,0,1,0
99,34,355,9074.28,2024-04-14,Samuelton,0,1,0,1,0,0,0
717,34,630,7188.37,2024-03-18,Yvonneville,0,0,0,1,0,0,1
435,37,958,1887.27,2024-02-12,Lake Jeffreyfort,1,0,0,1,0,1,1
607,37,33,4022.74,2024-04-21,Kyleport,0,0,0,1,0,1,1
215,39,846,6524.94,2024-08-05,Coxtown,0,0,0,0,0,0,1
784,40,851,3597.19,2023-12-25,Port Alexandraside,0,0,0,0,0,1,1
961,41,286,6712.87,2024-07-12,Jamesstad,0,0,0,1,0,0,1
278,44,144,6793.69,2024-10-09,Lake Coryhaven,0,0,0,0,0,0,0
734,45,58,9662.49,2024-03-08,Hickmanport,1,1,0,1,0,1,1
258,46,976,177.53,2024-06-20,East Matthew,0,0,0,0,0,1,0
311,46,247,2503.9,2024-10-28,West Aaronmouth,1,0,0,0,0,1,0
18,47,934,3910.84,2023-12-26,South Ashley,0,0,0,1,1,1,0
203,47,765,2714.18,2024-02-15,Sharontown,1,0,0,1,0,1,0
861,48,502,4148.39,2024-04-21,Garciamouth,1,0,0,1,0,1,0
693,50,803,2713.01,2024-06-05,New Michellefort,0,0,0,0,0,0,0
763,50,937,2723.36,2024-08-10,Meyersfurt,1,0,0,0,1,0,0
970,52,696,7025.51,2024-01-30,Nancybury,1,0,0,0,0,1,1
202,53,410,823.07,2024-04-08,North Matthewchester,1,0,0,0,0,1,1
9,54,268,6794.4,2024-08-04,Smithbury,0,0,0,1,0,0,1
123,54,990,6669.07,2024-06-12,North Robert,0,0,0,1,0,0,1
316,56,237,9515.56,2024-04-18,South Jesse,1,1,0,0,0,1,0
796,57,830,3548.93,2024-04-20,Port Davidborough,1,0,0,0,0,1,0
833,59,885,6010.86,2024-01-01,Watsonside,1,0,0,1,0,1,1
137,60,614,2136.09,2024-05-12,East Douglasshire,0,0,0,0,1,1,1
433,62,409,467.73,2024-06-21,West Davidstad,0,0,0,1,0,0,1
747,64,42,4907.27,2023-12-24,Lake Amy,1,0,0,0,1,1,1
468,66,250,3439.5,2024-09-27,Timothyside,1,0,0,0,0,0,0
487,66,617,5844.37,2024-01-01,East John,0,0,0,0,0,0,0
97,67,560,2719.25,2024-01-23,Waltersshire,0,0,0,0,0,1,0
746,67,598,157.37,2024-06-28,East Alexandra,0,0,0,0,1,1,1
849,67,968,1313.72,2024-05-11,Frazierfurt,1,0,0,0,0,1,0
40,68,270,3178.73,2023-12-11,East Johnview,0,0,0,0,0,1,0
478,68,918,3637.41,2023-12-16,Chadland,1,0,0,0,1,1,0
523,71,240,9138.89,2024-04-14,New Jonathanmouth,1,1,0,0,0,1,0
176,72,995,6493.33,2024-03-29,Perryhaven,1,0,0,0,0,1,1
289,72,405,7190.82,2024-03-17,North Shannon,1,0,0,0,0,1,0
647,72,993,7964.62,2024-05-29,Jenniferview,0,0,0,0,0,1,1
641,74,177,4176.01,2024-08-15,West Francisco,1,0,0,0,0,0,0
133,75,87,6931.67,2024-03-06,Owenburgh,0,0,0,0,0,1,0
362,75,546,1225.22,2024-02-23,East Shaneberg,1,0,0,0,1,1,0
623,76,801,5108.84,2024-11-04,Susantown,1,0,0,0,0,1,1
708,77,441,6801.69,2024-10-24,South Alexandria,0,0,0,0,1,1,0
62,79,537,1885.15,2024-08-16,New Jack,1,0,0,0,1,1,0
230,79,808,2103.46,2024-07-16,Christopherhaven,0,0,0,0,0,1,0
828,79,548,3956.41,2024-02-18,Jesseshire,1,0,0,0,0,1,0
490,81,866,8297.69,2024-01-02,West Melissaside,0,0,0,0,0,1,1
835,81,425,9420.27,2024-06-26,Port Robert,1,1,0,0,0,1,0
622,82,9,8910.06,2024-06-18,Loriburgh,1,0,0,0,0,1,0
678,83,538,8267.66,2024-01-04,Ponceview,0,0,0,0,0,1,1
102,85,950,3786.84,2024-05-01,Port Clinton,1,0,0,0,1,1,0
30,87,50,1529.63,2024-06-21,Port Anthony,1,0,0,1,0,1,0
527,88,1006,4131.0,2024-04-23,Thompsonborough,0,0,0,0,1,0,1
479,89,866,2133.82,2024-02-26,Lake Benjaminhaven,0,0,0,0,0,0,1
560,89,453,908.82,2024-07-26,Port Emilyville,0,0,0,0,1,0,0
950,89,567,4909.12,2024-05-07,North Natasha,1,0,0,0,0,0,1
149,93,680,9593.95,2024-11-05,Jamesshire,0,1,0,0,0,1,0
513,93,788,1640.75,2024-07-14,Lewisfurt,0,0,0,0,0,1,1
570,94,215,9394.08,2024-05-28,Oscarstad,1,1,0,0,0,0,0
475,95,963,4851.24,2024-01-19,Lake Stacy,1,0,0,0,0,0,1
703,95,381,151.38,2024-08-31,East Pamelaville,1,0,0,0,0,0,1
821,95,930,9856.99,2024-02-07,Manningchester,0,1,0,0,0,0,1
484,97,171,224.51,2024-09-10,Andersonview,0,0,0,1,0,1,1
403,99,92,1644.99,2024-08-25,Thomasside,0,0,0,0,0,1,1
525,99,260,2723.7,2024-04-15,Danielburgh,1,0,0,0,0,1,1
420,100,704,2655.72,2024-06-30,Lawsonton,0,0,0,0,0,0,1
674,100,441,8986.67,2024-02-17,Lake Ethanstad,1,0,0,0,1,0,0
648,102,53,281.57,2024-04-24,East Lindsayland,1,0,0,0,0,0,0
917,102,394,6382.45,2024-09-03,Stacychester,1,0,0,0,0,0,0
72,107,794,3894.03,2024-01-07,Silvaside,1,0,0,0,0,0,1
457,108,507,7901.96,2024-08-14,Burkemouth,0,0,0,1,0,0,0
735,108,457,9337.53,2024-09-22,Lake David,1,1,0,1,0,0,0
406,109,487,5939.23,2024-02-28,North Vickishire,0,0,0,0,0,0,0
503,113,262,5553.1,2023-11-28,Eugeneville,1,0,0,0,0,1,1
105,115,356,2313.52,2024-04-05,East Marcborough,1,0,0,1,0,1,1
616,115,694,8806.59,2024-03-12,Laurenmouth,1,0,0,1,1,1,1
231,117,162,1472.6,2024-10-05,Lopezshire,1,0,0,1,0,1,1
161,118,237,9383.67,2024-07-31,South Johnnyton,0,1,0,0,0,0,0
396,119,518,3114.5,2024-02-25,Lake Crystal,1,0,0,0,1,1,1
791,119,128,4576.08,2024-09-30,Hernandezside,1,0,0,0,0,1,1
159,120,654,4025.26,2024-04-29,New Cristian,1,0,0,0,1,0,1
358,120,560,5904.57,2024-05-20,East Christopher,0,0,0,0,0,0,0
800,120,171,8034.61,2024-03-30,Michaelfort,1,0,0,0,0,0,1
667,122,535,9387.23,2023-12-22,Christianmouth,1,1,0,0,1,0,1
292,126,395,5438.63,2024-09-30,Williamsborough,1,0,0,0,1,1,0
290,127,523,4988.87,2023-12-12,Jonesstad,0,0,0,0,1,0,0
853,127,313,4648.43,2024-02-25,East Victoriafort,1,0,0,0,0,0,1
875,130,685,2965.15,2024-05-03,West Kellyfurt,1,0,0,1,0,1,1
980,130,783,564.79,2024-04-16,Monicaburgh,1,0,0,1,0,1,1
539,132,609,2721.97,2023-12-14,Mossberg,0,0,0,1,0,1,0
983,133,645,1808.53,2023-11-24,Bryanhaven,0,0,0,0,0,1,1
237,134,1,3790.68,2024-01-05,North Ronald,0,0,0,1,0,1,1
158,136,60,5139.22,2024-07-07,North Charlesburgh,0,0,0,0,0,1,1
876,136,548,360.92,2023-12-12,Michelleshire,1,0,0,0,0,1,0
690,137,164,2230.82,2024-08-09,Moorefurt,1,0,0,1,0,1,0
177,139,48,5452.55,2024-06-19,Lake Stevenberg,0,0,0,0,0,1,1
652,139,110,420.89,2024-08-09,Griffithview,0,0,0,0,0,1,1
730,140,257,6809.58,2024-06-12,East Matthew,0,0,0,0,1,0,1
353,141,620,4063.65,2024-10-14,Trevorton,1,0,0,0,0,1,0
31,142,330,3992.58,2024-04-02,Lake Rebecca,0,0,0,0,1,1,0
467,142,872,3546.9,2024-06-19,Lake Edwardbury,1,0,0,0,0,1,1
3,143,598,9223.78,2024-04-27,Brendanberg,1,1,0,0,1,1,1
128,143,441,9480.34,2024-10-06,Lake Ashley,0,1,0,0,1,1,0
890,143,602,6615.78,2023-11-23,Bridgetmouth,0,0,0,0,0,1,1
314,145,876,8411.99,2024-04-27,Aguirreborough,0,0,0,1,1,0,0
751,145,910,2280.84,2023-12-16,East Jeffreyport,1,0,0,1,1,0,1
771,145,313,248.69,2024-06-26,Jordanville,0,0,0,1,0,0,1
257,146,748,1571.33,2024-09-21,North John,1,0,0,0,0,1,1
53,147,988,9322.58,2023-12-12,Lake Ronaldbury,1,1,0,0,0,0,1
649,149,244,9294.44,2024-07-16,East Bridgetview,1,1,0,0,0,1,0
968,149,312,1300.78,2024-07-08,West Danielhaven,1,0,0,0,0,1,1
101,150,793,9183.25,2024-02-25,South Alexa,1,1,0,0,0,1,1
567,151,88,9509.48,2024-02-17,Charlesborough,1,1,0,1,1,1,1
912,151,843,302.19,2024-09-15,Port Matthewbury,1,0,0,1,0,1,1
91,152,739,582.94,2024-08-19,Youngville,0,0,0,1,0,0,0
588,153,992,9016.89,2024-07-31,Samanthabury,0,1,0,0,0,1,1
743,153,330,4897.25,2024-09-08,Timothystad,1,0,0,0,1,1,0
805,153,379,8706.3,2024-05-20,New James,1,0,0,0,0,1,1
953,154,754,9308.24,2024-04-21,West Spencer,1,1,0,0,0,1,0
268,155,3,4323.75,2024-08-22,Bernardtown,0,0,0,0,0,1,1
448,155,768,5205.17,2024-06-26,Mckinneyside,1,0,0,0,0,1,1
210,156,218,14.37,2024-05-30,South Gabriela,1,0,0,0,0,1,0
417,156,802,1980.24,2024-05-03,North Melissa,0,0,0,0,0,1,0
350,158,304,7536.55,2024-08-05,East Tyler,1,0,0,0,0,0,0
462,158,535,5251.13,2024-06-06,Samanthaport,0,0,0,0,1,0,1
235,159,804,9831.19,2024-05-13,New Stephanie,0,1,0,1,0,0,0
529,160,616,7065.13,2024-02-11,Andrealand,1,0,0,0,0,1,1
554,160,700,3828.55,2024-10-26,Port Mariochester,1,0,0,0,1,1,0
577,160,524,5624.12,2024-01-30,Ronnieville,1,0,0,0,0,1,0
89,161,381,7020.76,2024-08-02,Port Brent,1,0,0,0,0,1,1
602,162,278,8705.3,2024-11-12,Parkermouth,0,0,0,0,1,1,1
679,162,488,6408.91,2024-07-29,Kristenside,1,0,0,0,0,1,1
837,164,903,9203.33,2024-11-05,Danielton,0,1,0,0,0,0,1
357,167,306,2639.87,2024-11-08,Kelseychester,1,0,0,0,0,0,0
538,167,888,6089.18,2024-01-30,West Courtney,1,0,0,0,0,0,1
57,169,629,7767.43,2024-11-19,West John,1,0,0,0,0,1,0
163,169,215,1995.04,2024-01-22,Christinahaven,0,0,0,0,0,1,0
191,169,1007,3017.12,2024-04-04,South Brianland,1,0,0,0,0,1,0
870,170,720,2084.02,2024-03-19,West Christopher,0,0,0,0,0,0,1
831,171,32,3579.57,2024-07-22,Rosariostad,0,0,0,0,1,1,0
106,173,750,9735.81,2023-11-23,Solischester,0,1,0,1,0,0,1
152,174,134,1884.82,2024-11-18,Kimton,1,0,0,0,1,0,1
966,174,682,8957.62,2024-08-19,Pamelafort,1,0,0,0,0,0,1
5,175,562,587.11,2024-09-01,East Katherine,0,0,0,0,0,1,1
112,175,715,2991.98,2024-01-31,Jimenezchester,0,0,0,0,0,1,1
844,175,502,4553.08,2024-10-13,Lake Keithview,1,0,0,0,0,1,0
232,176,123,7954.56,2024-02-05,Briannahaven,1,0,0,1,0,0,1
477,176,332,663.62,2024-07-15,Port Matthewhaven,1,0,0,1,0,0,1
242,177,875,7309.8,2023-12-26,Brandonland,1,0,0,0,1,1,1
444,177,475,6463.99,2024-07-09,Baldwinport,0,0,0,0,1,1,0
366,178,408,602.48,2024-05-15,Triciaville,1,0,0,1,0,1,0
628,178,969,1895.34,2024-07-01,Perezberg,0,0,0,1,0,1,0
878,178,964,3463.89,2023-12-06,Port Tracy,0,0,0,1,0,1,0
982,182,667,3084.57,2024-07-24,Derekbury,1,0,0,0,0,1,1
