sanction_id,bank_id,customer_id,sanction_date,reason,is_valid_bank_id
1,259,196,2024-05-07,Money Laundering,True
2,647,154,2023-08-27,Money Laundering,True
3,225,139,2023-08-14,Money Laundering,True
4,569,106,2024-11-21,Compliance Violation,True
5,970,148,2024-07-08,Money Laundering,True
6,990,864,2023-02-01,Fraud,True
7,771,816,2024-08-21,Compliance Violation,True
8,567,457,2024-01-28,Money Laundering,True
9,56,899,2024-11-13,Compliance Violation,True
10,40,1,2024-03-30,Money Laundering,True
11,703,940,2024-03-03,Compliance Violation,True
12,331,765,2023-04-01,Fraud,True
13,296,959,2023-10-09,Fraud,True
14,724,282,2023-05-05,Money Laundering,True
15,245,938,2024-02-24,Money Laundering,True
16,967,710,2023-01-25,Fraud,True
17,554,770,2024-08-22,Money Laundering,True
18,297,749,2023-08-01,Fraud,True
19,564,287,2023-12-23,Fraud,True
20,219,784,2023-02-06,Money Laundering,True
21,459,142,2023-06-18,Compliance Violation,True
22,909,960,2024-06-03,Fraud,True
23,386,151,2023-01-01,Fraud,True
24,685,65,2023-01-23,Compliance Violation,True
25,336,210,2024-04-10,Compliance Violation,True
26,222,171,2023-05-02,Fraud,True
27,664,40,2023-05-01,Compliance Violation,True
28,951,491,2023-02-17,Money Laundering,True
29,424,331,2024-06-13,Money Laundering,True
30,210,698,2023-05-19,Compliance Violation,True
31,242,727,2023-11-19,Money Laundering,True
32,431,628,2024-09-22,Money Laundering,True
33,248,136,2023-09-16,Fraud,True
34,260,389,2023-10-01,Fraud,True
35,374,357,2024-10-20,Fraud,True
36,242,222,2024-06-22,Fraud,True
37,901,581,2024-10-13,Money Laundering,True
38,469,375,2024-10-19,Money Laundering,True
39,734,643,2024-08-10,Fraud,True
40,869,543,2024-03-10,Compliance Violation,True
41,143,491,2024-01-26,Fraud,True
42,846,246,2023-11-21,Compliance Violation,True
43,995,490,2024-04-21,Fraud,True
44,914,116,2024-09-29,Compliance Violation,True
45,943,542,2023-06-11,Money Laundering,True
46,134,753,2023-03-06,Money Laundering,True
47,407,63,2023-12-14,Fraud,True
48,565,708,2024-04-18,Fraud,True
49,319,539,2024-09-06,Compliance Violation,True
50,360,862,2024-06-16,Fraud,True
51,12,500,2022-12-17,Money Laundering,True
52,89,800,2023-04-16,Compliance Violation,True
53,52,814,2023-12-09,Fraud,True
54,225,221,2024-06-07,Money Laundering,True
55,145,92,2024-04-09,Compliance Violation,True
56,653,676,2023-09-30,Fraud,True
57,693,415,2023-07-22,Money Laundering,True
58,787,748,2024-05-01,Compliance Violation,True
59,172,366,2023-03-28,Money Laundering,True
60,696,295,2023-03-08,Money Laundering,True
61,608,851,2024-07-01,Fraud,True
62,966,30,2023-02-07,Money Laundering,True
63,635,957,2024-04-01,Fraud,True
64,859,309,2024-09-20,Fraud,True
65,759,547,2024-04-23,Fraud,True
66,420,526,2024-01-29,Compliance Violation,True
67,188,808,2023-08-14,Fraud,True
68,842,298,2023-01-11,Fraud,True
69,342,457,2024-06-09,Fraud,True
70,466,572,2023-02-14,Money Laundering,True
71,795,778,2023-06-21,Money Laundering,True
72,157,577,2023-08-19,Fraud,True
73,458,573,2024-11-21,Money Laundering,True
74,163,198,2023-09-08,Fraud,True
75,88,14,2024-03-22,Compliance Violation,True
76,436,103,2024-05-13,Fraud,True
77,18,390,2023-12-08,Money Laundering,True
78,239,855,2023-04-02,Money Laundering,True
79,470,654,2024-04-22,Money Laundering,True
80,707,997,2023-04-06,Money Laundering,True
81,686,276,2023-10-15,Compliance Violation,True
82,410,575,2024-06-15,Fraud,True
83,558,604,2023-02-09,Compliance Violation,True
84,293,6,2023-03-16,Money Laundering,True
85,138,186,2024-03-29,Money Laundering,True
86,1,71,2023-12-04,Fraud,True
87,450,806,2023-11-14,Fraud,True
88,667,492,2023-06-07,Money Laundering,True
89,753,771,2023-06-11,Money Laundering,True
90,422,631,2024-09-02,Compliance Violation,True
