transaction_id,customer_id,bank_id,amount,fraud_score,severity,reviewed_by,review_date,disposition
501,958,809,9994.12,4,Critical,,,
566,270,147,9934.56,4,Critical,,,
639,301,535,9790.33,4,Critical,,,
35,786,958,9716.82,4,Critical,,,
954,314,557,9683.82,4,Critical,,,
909,771,132,9648.45,4,Critical,,,
567,151,88,9509.48,4,Critical,,,
17,687,759,9417.45,4,Critical,,,
667,122,535,9387.23,4,Critical,,,
323,429,514,9355.9,4,Critical,,,
3,143,598,9223.78,4,Critical,,,
330,714,651,5910.77,4,Critical,,,
238,611,677,4561.89,4,Critical,,,
214,400,746,4037.01,4,Critical,,,
178,357,898,9995.9,3,High,,,
380,868,48,9931.19,3,High,,,
900,2,122,9928.75,3,High,,,
500,271,732,9895.62,3,High,,,
188,930,5,9855.67,3,High,,,
571,207,254,9851.24,3,High,,,
618,855,543,9829.68,3,High,,,
66,750,880,9815.99,3,High,,,
696,580,538,9753.09,3,High,,,
436,391,103,9751.56,3,High,,,
534,462,1006,9750.32,3,High,,,
658,388,467,9746.91,3,High,,,
839,558,79,9730.33,3,High,,,
329,405,214,9663.3,3,High,,,
734,45,58,9662.49,3,High,,,
459,381,136,9583.48,3,High,,,
561,498,137,9534.8,3,High,,,
919,966,704,9529.77,3,High,,,
316,56,237,9515.56,3,High,,,
367,708,845,9514.35,3,High,,,
229,941,588,9505.54,3,High,,,
128,143,441,9480.34,3,High,,,
750,595,314,9443.32,3,High,,,
640,888,320,9434.14,3,High,,,
835,81,425,9420.27,3,High,,,
699,303,935,9376.8,3,High,,,
53,147,988,9322.58,3,High,,,
953,154,754,9308.24,3,High,,,
649,149,244,9294.44,3,High,,,
74,613,953,9265.02,3,High,,,
753,500,675,9240.92,3,High,,,
712,561,464,9228.75,3,High,,,
957,400,279,9209.03,3,High,,,
431,350,230,9190.51,3,High,,,
101,150,793,9183.25,3,High,,,
523,71,240,9138.89,3,High,,,
578,207,385,9118.16,3,High,,,
339,929,439,9104.47,3,High,,,
185,481,713,9104.14,3,High,,,
624,370,207,9045.09,3,High,,,
122,196,684,9020.73,3,High,,,
775,372,715,9017.49,3,High,,,
165,625,230,8845.4,3,High,,,
